ID,Name,Rating,Name_ID,New_ID
1,Siddhartha,5,1,1
1,"The Hunger Games (The Hunger Games, #1)",5,2,1
1,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,5,3,1
1,"The Return of the Indian (The Indian in the Cupboard, #2)",5,4,1
1,"Dark Apprentice (Star Wars: The Jedi Academy Trilogy, #2)",3,5,1
1,"Angels & Demons (Robert Langdon, #1)",4,6,1
1,"The Return of the King (The Lord of the Rings, #3)",5,7,1
1,"The Girl with the Dragon Tattoo (Millennium, #1)",5,8,1
1,"Thunderball (James Bond, #9)",4,9,1
1,The BFG,4,10,1
1,"The Golden Compass (His Dark Materials, #1)",5,11,1
1,To Kill a Mockingbird,5,12,1
1,Babar the King,5,13,1
1,"The Religion (Tannhauser, #1)",4,14,1
1,The Circle,4,15,1
1,The Godfather,5,16,1
1,Where the Red Fern Grows,5,17,1
1,The Anubis Gates,4,18,1
1,Pride and Prejudice,5,19,1
1,"The Amber Spyglass (His Dark Materials, #3)",4,20,1
1,Frankenstein,4,21,1
1,The Complete Works,5,22,1
1,The Scarlet Letter,3,23,1
1,Streets of Laredo,3,24,1
1,Killing Rommel,4,25,1
1,Stranger in a Strange Land,5,26,1
1,Think and Grow Rich,5,27,1
1,"God Emperor of Dune (Dune Chronicles, #4)",4,28,1
1,Their Eyes Were Watching God,4,29,1
1,The Iliad,4,30,1
1,"Red Mars (Mars Trilogy, #1)",4,31,1
1,Microserfs,4,32,1
1,They Call Me Coach,5,33,1
1,As I Lay Dying,2,34,1
1,"The Bourne Identity (Jason Bourne, #1)",4,35,1
1,Fahrenheit 451,5,36,1
1,"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",5,37,1
1,Starship Troopers,4,38,1
1,"Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School",4,39,1
1,Into the Wild,3,40,1
1,"The Pillars of the Earth (Kingsbridge, #1)",5,41,1
1,James and the Giant Peach,4,42,1
1,Sphere,2,43,1
1,Islandia,5,44,1
1,Island of the Blue Dolphins,4,45,1
1,"Speaker for the Dead (Ender's Saga, #2)",4,46,1
1,Born Standing Up: A Comic's Life,4,47,1
